epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2709.8,1.31324,1.96867,1.43674,0.76059,0.69959,0.76596,0.46198,1.30914,1.77018,1.53449,0.00047527,0.00047527,0.00047527
2,4676.27,1.19791,1.2593,1.33081,0.82126,0.75915,0.81452,0.53086,1.09224,1.09579,1.32284,0.000932762,0.000932762,0.000932762
3,6058.01,1.19962,1.07742,1.32094,0.86913,0.73899,0.81917,0.52612,1.08614,0.95587,1.29771,0.00137139,0.00137139,0.00137139
4,7388.73,1.1696,0.98134,1.29205,0.89437,0.80539,0.85621,0.55856,1.07928,0.80722,1.30408,0.00134412,0.00134412,0.00134412
5,8754.71,1.14406,0.90888,1.27611,0.89058,0.81202,0.86318,0.55762,1.06735,0.79661,1.30222,0.00131582,0.00131582,0.00131582
6,10077.9,1.10876,0.8416,1.2675,0.88982,0.80263,0.85271,0.53808,1.15283,0.7732,1.34818,0.00128753,0.00128753,0.00128753
7,11477.5,1.10106,0.8086,1.25505,0.9001,0.8043,0.86721,0.57587,0.97136,0.72387,1.23038,0.00125923,0.00125923,0.00125923
8,12845.9,1.08155,0.79217,1.24796,0.90608,0.80246,0.8666,0.57009,1.03879,0.67145,1.28982,0.00123094,0.00123094,0.00123094
9,14262.8,1.06251,0.75649,1.2371,0.89951,0.8203,0.8842,0.57678,1.04959,0.67204,1.28015,0.00120265,0.00120265,0.00120265
10,15578.2,1.06373,0.74933,1.22621,0.89707,0.83412,0.88629,0.58229,0.99262,0.63062,1.23389,0.00117435,0.00117435,0.00117435
11,17021.3,1.05389,0.71416,1.22753,0.87393,0.80339,0.85777,0.55284,1.04569,0.68295,1.26531,0.00114606,0.00114606,0.00114606
12,18439.2,1.05145,0.71623,1.22356,0.89642,0.821,0.87498,0.57519,1.05526,0.65193,1.28868,0.00111776,0.00111776,0.00111776
13,19904.5,1.03519,0.69034,1.21018,0.90345,0.82784,0.88956,0.57606,1.04957,0.64504,1.31266,0.00108947,0.00108947,0.00108947
14,22966.4,1.03499,0.69796,1.2155,0.89196,0.82637,0.87637,0.58229,1.01562,0.66527,1.28059,0.00106118,0.00106118,0.00106118
15,24303.3,1.02776,0.68952,1.19846,0.89145,0.83729,0.88897,0.58274,0.99426,0.63778,1.23532,0.00103288,0.00103288,0.00103288
16,25622.5,1.01707,0.66948,1.19129,0.91999,0.8281,0.89555,0.5676,1.03251,0.60169,1.27421,0.00100459,0.00100459,0.00100459
17,26993.8,1.00453,0.64953,1.1908,0.90661,0.83339,0.89078,0.58204,1.01155,0.60617,1.25073,0.000976293,0.000976293,0.000976293
18,28281.4,1.0178,0.66121,1.19173,0.90637,0.82942,0.8922,0.59156,0.97272,0.58983,1.21032,0.000947999,0.000947999,0.000947999
19,29739.2,0.99504,0.63826,1.18281,0.90736,0.83498,0.89554,0.59836,0.97976,0.60752,1.22114,0.000919704,0.000919704,0.000919704
20,31105.3,0.9847,0.62811,1.18226,0.88393,0.85917,0.90065,0.59119,1.00132,0.57438,1.24047,0.00089141,0.00089141,0.00089141
21,32589.5,0.98662,0.62605,1.17548,0.91709,0.84299,0.90634,0.59969,1.00456,0.5674,1.24654,0.000863116,0.000863116,0.000863116
22,34013.1,0.9838,0.61307,1.17529,0.90495,0.83644,0.8932,0.5939,0.99198,0.55364,1.22185,0.000834822,0.000834822,0.000834822
